Sample in Buffer,Sample in Window,TRIGGER,design_2_i/adc_bit_decoder_0_t_ready,design_2_i/ZmodScopeController_0_cDataAxisTvalid,design_2_i/delay_96_cycles_0_dout,design_2_i/adc_bit_decoder_0_bit_out,design_2_i/comparator_0_correct_bits[13:0],design_2_i/comparator_0_whole_bits[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
407,407,0,1,0,1,1,6620,16230
408,408,0,1,1,1,1,6620,16230
409,409,0,1,0,1,1,6620,16230
410,410,0,1,0,1,1,6621,16230
411,411,0,1,0,1,1,6621,16230
412,412,0,1,1,1,1,6621,16230
413,413,0,1,0,1,0,6621,16230
414,414,0,1,0,1,0,6621,16230
415,415,0,1,0,1,0,6621,16230
416,416,0,1,1,1,0,6621,16230
417,417,0,1,0,1,0,6621,16230
418,418,0,1,0,1,0,6621,16230
419,419,0,1,0,1,0,6621,16231
420,420,0,1,1,1,0,6621,16231
421,421,0,1,0,1,0,6621,16231
422,422,0,1,0,1,0,6621,16231
423,423,0,1,0,1,0,6621,16231
424,424,0,1,1,1,0,6621,16231
425,425,0,1,0,1,1,6621,16231
426,426,0,1,0,1,1,6621,16231
427,427,0,1,0,1,1,6621,16231
428,428,0,1,1,1,1,6621,16231
429,429,0,1,0,1,1,6621,16231
430,430,0,1,0,1,1,6622,16231
431,431,0,1,0,1,1,6622,16231
432,432,0,1,1,1,1,6622,16231
433,433,0,1,0,1,0,6622,16231
434,434,0,1,0,1,0,6622,16231
435,435,0,1,0,1,0,6622,16231
436,436,0,1,1,0,0,6622,16231
437,437,0,1,0,0,0,6622,16231
438,438,0,1,0,0,0,6622,16231
439,439,0,1,0,0,0,6622,16232
440,440,0,1,1,0,0,6622,16232
441,441,0,1,0,0,1,6622,16232
442,442,0,1,0,0,1,6622,16232
443,443,0,1,0,0,1,6622,16232
444,444,0,1,1,0,1,6622,16232
445,445,0,1,0,0,1,6622,16232
446,446,0,1,0,0,1,6622,16232
447,447,0,1,0,0,1,6622,16232
448,448,0,1,1,0,1,6622,16232
449,449,0,1,0,0,1,6622,16232
450,450,0,1,0,0,1,6622,16232
451,451,0,1,0,0,1,6622,16232
452,452,0,1,1,0,1,6622,16232
453,453,0,1,0,0,1,6622,16232
454,454,0,1,0,0,1,6622,16232
455,455,0,1,0,0,1,6622,16232
456,456,0,1,1,0,1,6622,16232
457,457,0,1,0,0,0,6622,16232
458,458,0,1,0,0,0,6622,16232
459,459,0,1,0,0,0,6622,16233
460,460,0,1,1,0,0,6622,16233
461,461,0,1,0,0,1,6622,16233
462,462,0,1,0,0,1,6622,16233
463,463,0,1,0,0,1,6622,16233
464,464,0,1,1,0,1,6622,16233
465,465,0,1,0,0,1,6622,16233
466,466,0,1,0,0,1,6622,16233
467,467,0,1,0,0,1,6622,16233
468,468,0,1,1,0,1,6622,16233
469,469,0,1,0,0,1,6622,16233
470,470,0,1,0,0,1,6622,16233
471,471,0,1,0,0,1,6622,16233
472,472,0,1,1,0,1,6622,16233
473,473,0,1,0,0,0,6622,16233
474,474,0,1,0,0,0,6622,16233
475,475,0,1,0,0,0,6622,16233
476,476,0,1,1,0,0,6622,16233
477,477,0,1,0,0,1,6622,16233
478,478,0,1,0,0,1,6622,16233
479,479,0,1,0,0,1,6622,16234
480,480,0,1,1,0,1,6622,16234
481,481,0,1,0,0,1,6622,16234
482,482,0,1,0,0,1,6622,16234
